rule_set,num_rules,fingerprint,expr_name,origin,tier,node_count,app_target,app_actual,sweeps_actual,evals_actual,apps_per_sweep,cost,ended,ended_at_apps
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,204800,47,3,3680,13,141,quiesced,47
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,25,25,2,1417,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,50,49,3,2905,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,100,49,3,2905,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,200,49,3,2905,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,400,49,3,2905,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,800,49,3,2905,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,1600,49,3,2905,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,3200,49,3,2905,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,6400,49,3,2905,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,12800,49,3,2905,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,25600,49,3,2905,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,51200,49,3,2905,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,102400,49,3,2905,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b02_f03_00166,train,blitz,9,204800,49,3,2905,15,145,quiesced,49
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,25,27,2,2100,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,50,57,3,4062,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,100,93,4,6294,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,200,93,4,6294,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,400,93,4,6294,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,800,93,4,6294,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,1600,93,4,6294,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,3200,93,4,6294,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,6400,93,4,6294,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,12800,93,4,6294,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,25600,93,4,6294,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,51200,93,4,6294,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,102400,93,4,6294,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b03_f06_00318,train,blitz,9,204800,93,4,6294,14,92,quiesced,93
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,25,23,2,2856,9,269,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,50,23,2,2856,9,269,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,100,23,2,2856,9,269,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,200,23,2,2856,9,269,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b11_f02_00928,train,blitz,9,400,23,2,2856,9,269,quiesced,23
